candidate_id,name,age,gender,education,experience,current_city,preferred_cities,preferred_categories,skills,expected_salary_min,expected_salary_max,expected_salary_avg,self_introduction,registration_date
CAND264347,求职者014,24,女,硕士,1-3年,南京,"苏州,杭州,西安",市场,"分布式系统,高并发,数据结构,微服务",13155,21377,17266,本人拥有1-3年工作经验，熟练掌握分布式系统等技能，希望在苏州寻找合适的市场岗位。,2025-04-10
CAND498922,求职者015,31,男,硕士,应届生,西安,"西安,广州,杭州",产品,"数据分析,需求分析,产品设计,Figma,原型设计",5116,8315,6715,本人拥有应届生工作经验，熟练掌握数据分析等技能，希望在西安寻找合适的产品岗位。,2025-08-28
CAND959919,求职者016,29,男,硕士,不限,南京,"杭州,南京","运营,职能","公关,市场调研,渠道拓展",7176,11662,9419,本人拥有不限工作经验，熟练掌握公关等技能，希望在杭州寻找合适的运营岗位。,2026-02-20
CAND712064,求职者017,39,男,不限,应届生,广州,杭州,"运营,产品","PPT,薪酬管理",3380,5493,4436,本人拥有应届生工作经验，熟练掌握PPT等技能，希望在杭州寻找合适的运营岗位。,2025-12-17
CAND684574,求职者018,42,男,硕士,3-5年,西安,"郑州,上海","设计,市场","营销策划,公关,渠道拓展,品牌推广",11050,17957,14503,本人拥有3-5年工作经验，熟练掌握营销策划等技能，希望在郑州寻找合适的设计岗位。,2025-05-02
CAND927690,求职者019,26,女,博士,5-10年,长沙,"苏州,重庆",设计,"大数据,MySQL,NumPy",28308,46001,37154,本人拥有5-10年工作经验，熟练掌握大数据等技能，希望在苏州寻找合适的设计岗位。,2025-11-27
CAND191151,求职者020,37,男,硕士,5-10年,北京,"长沙,北京","产品,运营","Photoshop,C4D,Adobe XD,3D Max",32456,52742,42599,本人拥有5-10年工作经验，熟练掌握Photoshop等技能，希望在长沙寻找合适的产品岗位。,2025-10-20
CAND993091,求职者021,42,女,博士,1-3年,西安,"杭州,北京,苏州",职能,"公关,BD,市场调研,品牌推广",11981,19470,15725,本人拥有1-3年工作经验，熟练掌握公关等技能，希望在杭州寻找合适的职能岗位。,2025-07-22
CAND215508,求职者022,35,女,不限,1-3年,广州,"西安,天津,广州","产品,职能","MySQL,Spark,Scikit-learn,TensorFlow",9679,15728,12703,本人拥有1-3年工作经验，熟练掌握MySQL等技能，希望在西安寻找合适的产品岗位。,2025-12-24
CAND256206,求职者023,25,女,博士,不限,广州,"杭州,苏州",运营,"营销策划,市场调研,公关",15257,24794,20025,本人拥有不限工作经验，熟练掌握营销策划等技能，希望在杭州寻找合适的运营岗位。,2025-05-31
CAND422417,求职者024,24,女,本科,10年以上,上海,"郑州,天津,上海","市场,职能","After Effects,Figma,Sketch,Illustrator,3D Max",31673,51469,41571,本人拥有10年以上工作经验，熟练掌握After Effects等技能，希望在郑州寻找合适的市场岗位。,2025-06-24
CAND787103,求职者025,44,男,博士,1-3年,郑州,广州,运营,"原型设计,用户研究,Figma,产品设计",13291,21598,17444,本人拥有1-3年工作经验，熟练掌握原型设计等技能，希望在广州寻找合适的运营岗位。,2025-11-09
CAND860012,求职者026,36,女,硕士,3-5年,杭州,上海,"市场,职能","Photoshop,Sketch",19431,31575,25503,本人拥有3-5年工作经验，熟练掌握Photoshop等技能，希望在上海寻找合适的市场岗位。,2025-08-26
CAND245461,求职者027,31,男,硕士,不限,苏州,苏州,市场,"Illustrator,Sketch",7893,12826,10359,本人拥有不限工作经验，熟练掌握Illustrator等技能，希望在苏州寻找合适的市场岗位。,2025-09-29
CAND152763,求职者028,35,女,博士,5-10年,西安,北京,"职能,运营","Excel,招聘,PPT",14189,23057,18623,本人拥有5-10年工作经验，熟练掌握Excel等技能，希望在北京寻找合适的职能岗位。,2025-09-02
CAND675018,求职者029,36,女,不限,3-5年,武汉,"深圳,苏州,西安","产品,职能","BD,市场调研",9543,15507,12525,本人拥有3-5年工作经验，熟练掌握BD等技能，希望在深圳寻找合适的产品岗位。,2025-11-14
CAND181684,求职者030,35,男,不限,10年以上,长沙,"上海,武汉",市场,"Photoshop,C4D,3D Max",13684,22238,17961,本人拥有10年以上工作经验，熟练掌握Photoshop等技能，希望在上海寻找合适的市场岗位。,2025-04-25
CAND563360,求职者031,29,女,博士,不限,成都,郑州,"职能,运营","3D Max,Adobe XD,Sketch,C4D,Illustrator",10027,16294,13160,本人拥有不限工作经验，熟练掌握3D Max等技能，希望在郑州寻找合适的职能岗位。,2025-08-21
CAND260886,求职者032,26,男,博士,1-3年,郑州,杭州,"市场,设计","绩效考核,Excel,培训",8205,13333,10769,本人拥有1-3年工作经验，熟练掌握绩效考核等技能，希望在杭州寻找合适的市场岗位。,2025-06-10
CAND626610,求职者033,30,男,大专,3-5年,西安,"重庆,长沙,深圳",市场,"原型设计,需求分析,用户研究,PRD文档,产品设计",8087,13142,10614,本人拥有3-5年工作经验，熟练掌握原型设计等技能，希望在重庆寻找合适的市场岗位。,2025-03-08
CAND538085,求职者034,27,女,本科,10年以上,杭州,苏州,"产品,职能","原型设计,PRD文档,Figma,需求分析,用户研究",27961,45437,36699,本人拥有10年以上工作经验，熟练掌握原型设计等技能，希望在苏州寻找合适的产品岗位。,2025-03-16
CAND583846,求职者035,23,男,博士,10年以上,成都,郑州,产品,"Excel,组织管理",22459,36497,29478,本人拥有10年以上工作经验，熟练掌握Excel等技能，希望在郑州寻找合适的产品岗位。,2025-08-29
CAND829420,求职者036,23,男,不限,10年以上,天津,"上海,重庆","职能,设计","公关,品牌推广",15146,24613,19879,本人拥有10年以上工作经验，熟练掌握公关等技能，希望在上海寻找合适的职能岗位。,2025-09-08
CAND523783,求职者037,27,男,本科,3-5年,成都,"青岛,北京","市场,设计","SEO,数据分析,SEM",9949,16167,13058,本人拥有3-5年工作经验，熟练掌握SEO等技能，希望在青岛寻找合适的市场岗位。,2025-08-08
CAND627500,求职者038,42,男,不限,应届生,成都,"武汉,郑州,南京","运营,技术","沟通协调,培训,招聘,Excel,绩效考核",3848,6254,5051,本人拥有应届生工作经验，熟练掌握沟通协调等技能，希望在武汉寻找合适的运营岗位。,2025-11-23
CAND564172,求职者039,25,女,本科,10年以上,广州,"武汉,深圳","设计,技术","Java,Jenkins",32120,52195,42157,本人拥有10年以上工作经验，熟练掌握Java等技能，希望在武汉寻找合适的设计岗位。,2026-02-05
CAND447362,求职者040,33,女,博士,5-10年,重庆,"苏州,西安,重庆","运营,技术","C4D,Illustrator,Photoshop,Figma,3D Max",28281,45957,37119,本人拥有5-10年工作经验，熟练掌握C4D等技能，希望在苏州寻找合适的运营岗位。,2025-10-29
CAND613035,求职者041,34,女,硕士,应届生,上海,郑州,"产品,技术","SEO,内容策划",8962,14564,11763,本人拥有应届生工作经验，熟练掌握SEO等技能，希望在郑州寻找合适的产品岗位。,2026-02-02
CAND427966,求职者042,32,男,本科,应届生,重庆,"上海,杭州","市场,设计","机器学习,Hadoop,算法,深度学习",5307,8625,6966,本人拥有应届生工作经验，熟练掌握机器学习等技能，希望在上海寻找合适的市场岗位。,2025-08-12
CAND147568,求职者043,25,女,博士,应届生,南京,"青岛,深圳",运营,"原型设计,用户研究",8838,14362,11600,本人拥有应届生工作经验，熟练掌握原型设计等技能，希望在青岛寻找合适的运营岗位。,2025-12-03
CAND492552,求职者044,42,男,大专,10年以上,天津,南京,运营,"渠道拓展,营销策划,品牌推广,媒介投放",15087,24516,19801,本人拥有10年以上工作经验，熟练掌握渠道拓展等技能，希望在南京寻找合适的运营岗位。,2025-10-26
CAND821443,求职者045,30,男,不限,1-3年,北京,天津,职能,"产品设计,用户研究",10313,16758,13535,本人拥有1-3年工作经验，熟练掌握产品设计等技能，希望在天津寻找合适的职能岗位。,2025-06-16
CAND541059,求职者046,43,女,硕士,3-5年,南京,"重庆,成都,杭州",职能,"组织管理,沟通协调,培训",11908,19351,15629,本人拥有3-5年工作经验，熟练掌握组织管理等技能，希望在重庆寻找合适的职能岗位。,2025-12-11
CAND929089,求职者047,30,男,大专,不限,重庆,郑州,"市场,运营","TensorFlow,分布式系统,Git,NumPy,Spark",4895,7954,6424,本人拥有不限工作经验，熟练掌握TensorFlow等技能，希望在郑州寻找合适的市场岗位。,2026-03-04
CAND879979,求职者048,32,男,博士,3-5年,西安,"上海,西安","职能,技术","数据分析,PRD文档,Figma",17944,29159,23551,本人拥有3-5年工作经验，熟练掌握数据分析等技能，希望在上海寻找合适的职能岗位。,2025-11-22
CAND746872,求职者049,35,男,硕士,10年以上,西安,"长沙,天津,苏州","市场,运营","活动策划,SEM",18645,30299,24472,本人拥有10年以上工作经验，熟练掌握活动策划等技能，希望在长沙寻找合适的市场岗位。,2025-09-11
CAND529498,求职者050,34,女,不限,应届生,重庆,南京,技术,"Hadoop,MongoDB,MySQL",4643,7545,6094,本人拥有应届生工作经验，熟练掌握Hadoop等技能，希望在南京寻找合适的技术岗位。,2025-07-19
CAND540022,求职者051,30,女,硕士,不限,重庆,"重庆,天津",技术,"Excel,薪酬管理,招聘,沟通协调,培训",4388,7130,5759,本人拥有不限工作经验，熟练掌握Excel等技能，希望在重庆寻找合适的技术岗位。,2025-05-30
CAND283368,求职者052,42,男,硕士,3-5年,重庆,武汉,"设计,职能","媒介投放,BD,营销策划,渠道拓展",13349,21693,17521,本人拥有3-5年工作经验，熟练掌握媒介投放等技能，希望在武汉寻找合适的设计岗位。,2025-07-03
CAND309200,求职者053,44,男,不限,不限,郑州,"苏州,南京","运营,产品","Scikit-learn,高并发,Kubernetes,Vue",4532,7365,5948,本人拥有不限工作经验，熟练掌握Scikit-learn等技能，希望在苏州寻找合适的运营岗位。,2025-08-18
CAND904287,求职者054,27,女,大专,10年以上,深圳,"北京,重庆,西安",职能,"沟通协调,绩效考核,PPT,Excel,薪酬管理",13343,21683,17513,本人拥有10年以上工作经验，熟练掌握沟通协调等技能，希望在北京寻找合适的职能岗位。,2025-09-07
CAND226913,求职者055,43,男,博士,5-10年,苏州,"上海,武汉","技术,市场","After Effects,Photoshop,Adobe XD",29468,47886,38677,本人拥有5-10年工作经验，熟练掌握After Effects等技能，希望在上海寻找合适的技术岗位。,2026-01-28
CAND998783,求职者056,34,女,博士,应届生,成都,"西安,广州,长沙","技术,职能","数据分析,需求分析",9646,15675,12660,本人拥有应届生工作经验，熟练掌握数据分析等技能，希望在西安寻找合适的技术岗位。,2025-09-24
CAND217764,求职者057,30,女,硕士,应届生,上海,"深圳,武汉,上海",市场,"PRD文档,原型设计,用户研究",9228,14995,12111,本人拥有应届生工作经验，熟练掌握PRD文档等技能，希望在深圳寻找合适的市场岗位。,2026-02-03
CAND376777,求职者058,35,女,博士,1-3年,天津,武汉,"设计,产品","TypeScript,MongoDB,Pandas",13376,21736,17556,本人拥有1-3年工作经验，熟练掌握TypeScript等技能，希望在武汉寻找合适的设计岗位。,2025-10-17
CAND277485,求职者059,36,女,本科,不限,上海,"北京,西安",设计,"大数据,TypeScript,数据结构,Vue,分布式系统",10216,16601,13408,本人拥有不限工作经验，熟练掌握大数据等技能，希望在北京寻找合适的设计岗位。,2026-01-08
CAND853384,求职者060,42,男,硕士,不限,广州,苏州,"运营,市场","NumPy,深度学习",10778,17515,14146,本人拥有不限工作经验，熟练掌握NumPy等技能，希望在苏州寻找合适的运营岗位。,2026-01-21
CAND320870,求职者061,27,女,博士,5-10年,长沙,"杭州,苏州",运营,"内容策划,SEO,SEM,活动策划",24326,39530,31928,本人拥有5-10年工作经验，熟练掌握内容策划等技能，希望在杭州寻找合适的运营岗位。,2025-12-01
CAND338332,求职者062,23,女,大专,3-5年,郑州,"深圳,上海,天津","运营,职能","Excel,招聘,薪酬管理,组织管理,培训",6172,10030,8101,本人拥有3-5年工作经验，熟练掌握Excel等技能，希望在深圳寻找合适的运营岗位。,2025-05-07
CAND682466,求职者063,39,女,大专,10年以上,武汉,"苏州,郑州",运营,"用户研究,需求分析",15246,24775,20010,本人拥有10年以上工作经验，熟练掌握用户研究等技能，希望在苏州寻找合适的运营岗位。,2025-06-14
CAND582897,求职者064,29,男,博士,1-3年,郑州,"苏州,重庆,深圳","设计,市场","培训,绩效考核,薪酬管理,沟通协调",7542,12256,9899,本人拥有1-3年工作经验，熟练掌握培训等技能，希望在苏州寻找合适的设计岗位。,2026-01-26
CAND559246,求职者065,44,女,大专,不限,广州,青岛,"产品,职能","TypeScript,Vue,JavaScript,Linux,机器学习",7735,12570,10152,本人拥有不限工作经验，熟练掌握TypeScript等技能，希望在青岛寻找合适的产品岗位。,2026-01-08
CAND703203,求职者066,40,女,不限,5-10年,青岛,上海,产品,"社群运营,SEO,数据分析,用户增长",8974,14583,11778,本人拥有5-10年工作经验，熟练掌握社群运营等技能，希望在上海寻找合适的产品岗位。,2026-03-03
CAND316487,求职者067,36,女,不限,不限,上海,上海,"设计,职能","SEM,SEO,活动策划",6671,10840,8755,本人拥有不限工作经验，熟练掌握SEM等技能，希望在上海寻找合适的设计岗位。,2025-06-03
CAND976917,求职者068,34,男,博士,10年以上,深圳,武汉,产品,"原型设计,产品设计,数据分析,Axure",47100,76537,61818,本人拥有10年以上工作经验，熟练掌握原型设计等技能，希望在武汉寻找合适的产品岗位。,2025-12-20
CAND396092,求职者069,40,男,博士,不限,郑州,"长沙,青岛,南京",运营,"Figma,PRD文档,用户研究",10598,17221,13909,本人拥有不限工作经验，熟练掌握Figma等技能，希望在长沙寻找合适的运营岗位。,2025-09-24
CAND963668,求职者070,29,男,大专,1-3年,广州,天津,"运营,技术","活动策划,用户增长",5331,8662,6996,本人拥有1-3年工作经验，熟练掌握活动策划等技能，希望在天津寻找合适的运营岗位。,2025-05-20
CAND946293,求职者071,32,女,博士,应届生,苏州,长沙,"职能,市场","公关,营销策划,BD",9557,15531,12544,本人拥有应届生工作经验，熟练掌握公关等技能，希望在长沙寻找合适的职能岗位。,2026-01-07
CAND374387,求职者072,22,女,本科,5-10年,天津,"南京,郑州",产品,"内容策划,SEO,新媒体,SEM,活动策划",13418,21804,17611,本人拥有5-10年工作经验，熟练掌握内容策划等技能，希望在南京寻找合适的产品岗位。,2025-08-19
CAND522328,求职者073,42,女,大专,1-3年,武汉,青岛,"设计,市场","需求分析,Axure,原型设计,产品设计,PRD文档",5677,9226,7451,本人拥有1-3年工作经验，熟练掌握需求分析等技能，希望在青岛寻找合适的设计岗位。,2025-03-17
CAND307514,求职者074,30,女,博士,应届生,长沙,"重庆,苏州",市场,"大数据,高并发",7687,12492,10089,本人拥有应届生工作经验，熟练掌握大数据等技能，希望在重庆寻找合适的市场岗位。,2026-01-13
CAND688037,求职者075,37,女,硕士,10年以上,长沙,北京,"市场,运营","薪酬管理,招聘,绩效考核,组织管理,沟通协调",19784,32150,25967,本人拥有10年以上工作经验，熟练掌握薪酬管理等技能，希望在北京寻找合适的市场岗位。,2025-08-31
CAND303521,求职者076,33,女,大专,5-10年,郑州,"成都,西安",设计,"培训,招聘",7251,11784,9517,本人拥有5-10年工作经验，熟练掌握培训等技能，希望在成都寻找合适的设计岗位。,2025-12-24
CAND570379,求职者077,30,男,硕士,10年以上,南京,"重庆,深圳,青岛","运营,设计","3D Max,Photoshop,After Effects,Illustrator",30450,49481,39965,本人拥有10年以上工作经验，熟练掌握3D Max等技能，希望在重庆寻找合适的运营岗位。,2025-06-11
CAND821537,求职者078,28,女,本科,3-5年,苏州,"重庆,武汉,苏州",设计,"组织管理,绩效考核,PPT,沟通协调,Excel",7872,12793,10332,本人拥有3-5年工作经验，熟练掌握组织管理等技能，希望在重庆寻找合适的设计岗位。,2025-04-06
CAND918379,求职者079,45,男,博士,不限,成都,南京,"市场,技术","分布式系统,MySQL",12359,20084,16221,本人拥有不限工作经验，熟练掌握分布式系统等技能，希望在南京寻找合适的市场岗位。,2026-02-01
CAND296124,求职者080,43,男,不限,10年以上,武汉,苏州,技术,"分布式系统,高并发",19028,30922,24975,本人拥有10年以上工作经验，熟练掌握分布式系统等技能，希望在苏州寻找合适的技术岗位。,2025-07-22
CAND636340,求职者081,27,女,大专,应届生,深圳,广州,职能,"渠道拓展,品牌推广,市场调研,营销策划,公关",4315,7013,5664,本人拥有应届生工作经验，熟练掌握渠道拓展等技能，希望在广州寻找合适的职能岗位。,2025-10-11
CAND219492,求职者082,23,女,本科,1-3年,上海,武汉,设计,"深度学习,数据结构,Docker,Pandas",10513,17085,13799,本人拥有1-3年工作经验，熟练掌握深度学习等技能，希望在武汉寻找合适的设计岗位。,2025-05-11
CAND662588,求职者083,40,女,博士,应届生,武汉,"郑州,长沙",职能,"After Effects,C4D,Photoshop,Illustrator",9724,15802,12763,本人拥有应届生工作经验，熟练掌握After Effects等技能，希望在郑州寻找合适的职能岗位。,2025-11-01
CAND595179,求职者084,25,男,硕士,1-3年,武汉,西安,"技术,市场","Jenkins,大数据,MongoDB,Redis,Linux",9504,15444,12474,本人拥有1-3年工作经验，熟练掌握Jenkins等技能，希望在西安寻找合适的技术岗位。,2025-08-20
CAND792652,求职者085,40,男,博士,3-5年,南京,南京,运营,"市场调研,BD,渠道拓展,公关,营销策划",18079,29379,23729,本人拥有3-5年工作经验，熟练掌握市场调研等技能，希望在南京寻找合适的运营岗位。,2025-03-10
CAND715982,求职者086,22,男,本科,10年以上,青岛,杭州,职能,"数据分析,用户增长,新媒体",16352,26572,21462,本人拥有10年以上工作经验，熟练掌握数据分析等技能，希望在杭州寻找合适的职能岗位。,2025-10-09
CAND776996,求职者087,33,女,本科,1-3年,上海,"重庆,南京",运营,"营销策划,媒介投放",11230,18248,14739,本人拥有1-3年工作经验，熟练掌握营销策划等技能，希望在重庆寻找合适的运营岗位。,2025-03-21
CAND489653,求职者088,34,女,博士,5-10年,武汉,成都,"产品,职能","PPT,招聘,绩效考核,薪酬管理",15142,24607,19874,本人拥有5-10年工作经验，熟练掌握PPT等技能，希望在成都寻找合适的产品岗位。,2025-04-12
CAND397100,求职者089,42,女,不限,应届生,深圳,广州,"技术,职能","C4D,Figma,Photoshop,Sketch,After Effects",6493,10552,8522,本人拥有应届生工作经验，熟练掌握C4D等技能，希望在广州寻找合适的技术岗位。,2025-03-09
CAND901977,求职者090,36,男,不限,10年以上,郑州,"天津,郑州",市场,"新媒体,社群运营,内容策划,SEO",10985,17852,14418,本人拥有10年以上工作经验，熟练掌握新媒体等技能，希望在天津寻找合适的市场岗位。,2026-01-07
CAND986420,求职者091,28,男,博士,5-10年,重庆,"成都,上海",运营,"机器学习,Spark,深度学习,React,Django",22521,36597,29559,本人拥有5-10年工作经验，熟练掌握机器学习等技能，希望在成都寻找合适的运营岗位。,2025-12-05
CAND581124,求职者092,24,男,不限,10年以上,天津,"重庆,南京,长沙","设计,运营","Python,Django,机器学习,PyTorch",16080,26130,21105,本人拥有10年以上工作经验，熟练掌握Python等技能，希望在重庆寻找合适的设计岗位。,2025-04-03
CAND414119,求职者093,30,男,博士,5-10年,西安,"郑州,武汉,广州","市场,设计","PRD文档,产品设计,用户研究,Figma",27425,44566,35995,本人拥有5-10年工作经验，熟练掌握PRD文档等技能，希望在郑州寻找合适的市场岗位。,2025-11-14
CAND297607,求职者094,27,女,本科,1-3年,深圳,"郑州,北京,西安",市场,"社群运营,数据分析",7624,12390,10007,本人拥有1-3年工作经验，熟练掌握社群运营等技能，希望在郑州寻找合适的市场岗位。,2025-12-25
CAND950282,求职者095,45,男,博士,1-3年,重庆,"武汉,郑州,杭州","市场,设计","Illustrator,Adobe XD,Figma,After Effects,C4D",9895,16079,12987,本人拥有1-3年工作经验，熟练掌握Illustrator等技能，希望在武汉寻找合适的市场岗位。,2026-01-18
CAND589065,求职者096,34,女,博士,5-10年,广州,"郑州,重庆",产品,"React,Python,微服务",38756,62979,50867,本人拥有5-10年工作经验，熟练掌握React等技能，希望在郑州寻找合适的产品岗位。,2026-02-19
CAND522032,求职者097,45,男,硕士,不限,苏州,重庆,职能,"社群运营,SEO,用户增长,数据分析",8518,13842,11180,本人拥有不限工作经验，熟练掌握社群运营等技能，希望在重庆寻找合适的职能岗位。,2025-06-23
CAND708273,求职者098,22,男,不限,不限,青岛,"南京,天津","产品,职能","Linux,PyTorch",5316,8639,6977,本人拥有不限工作经验，熟练掌握Linux等技能，希望在南京寻找合适的产品岗位。,2025-07-14
CAND401970,求职者099,43,女,大专,不限,成都,青岛,"技术,市场","绩效考核,招聘,薪酬管理",3347,5440,4393,本人拥有不限工作经验，熟练掌握绩效考核等技能，希望在青岛寻找合适的技术岗位。,2025-06-04
