application_id,job_id,candidate_id,application_date,skill_match_score,salary_match_score,education_match_score,experience_match_score,total_match_score,is_matched,status
APP368428,JOB465164,CAND821003,2026-02-19,0.0,0.7,1.0,1.0,0.54,0,面试中
APP731205,JOB166632,CAND558517,2026-02-12,0.0,0.1,0.2,0.4,0.14,0,已录用
APP227220,JOB381886,CAND555731,2026-02-09,0.0,0.4,0.6,1.0,0.4,0,已查看
APP120701,JOB104936,CAND305112,2026-02-08,0.0,1.0,1.0,0.4,0.48,0,待处理
APP852427,JOB421499,CAND439202,2026-02-06,0.0,0.1,1.0,0.1,0.24,0,面试中
APP462116,JOB469885,CAND393463,2026-02-05,1.0,0.4,1.0,0.4,0.76,1,已录用
APP936060,JOB386208,CAND609964,2026-02-25,0.0,0.7,0.6,1.0,0.46,0,待处理
APP882641,JOB517373,CAND798158,2026-02-19,0.0,0.1,1.0,0.1,0.24,0,待处理
APP337819,JOB938429,CAND361303,2026-02-19,0.0,0.7,1.0,0.1,0.36,0,已查看
APP596500,JOB921200,CAND309200,2026-02-08,0.0,0.1,0.2,0.4,0.14,0,已录用
APP609781,JOB807808,CAND408964,2026-02-23,0.5,0.4,0.2,0.7,0.46,0,待处理
APP895896,JOB859271,CAND917895,2026-02-19,0.0,0.7,0.6,1.0,0.46,0,待处理
APP954057,JOB774221,CAND233381,2026-02-23,0.0,0.7,1.0,1.0,0.54,0,已拒绝
APP115764,JOB507446,CAND829420,2026-03-05,0.0,0.1,0.2,1.0,0.26,0,已录用
APP697886,JOB453669,CAND966621,2026-02-25,0.0,0.1,1.0,1.0,0.42,0,面试中
APP506140,JOB808331,CAND792711,2026-02-08,0.0,0.1,0.2,1.0,0.26,0,已录用
APP633414,JOB296601,CAND336398,2026-02-09,0.0,1.0,1.0,1.0,0.6,1,面试中
APP905181,JOB527260,CAND580783,2026-03-03,0.167,0.4,1.0,1.0,0.547,0,待处理
APP483538,JOB525151,CAND730926,2026-02-13,0.0,1.0,0.6,1.0,0.52,0,已录用
APP905734,JOB271552,CAND275905,2026-02-06,0.0,0.1,0.2,0.1,0.08,0,已录用
APP263982,JOB687270,CAND929089,2026-03-03,0.0,1.0,1.0,1.0,0.6,1,待处理
APP717510,JOB985146,CAND186688,2026-03-06,0.0,1.0,0.6,0.7,0.46,0,已录用
APP490370,JOB657772,CAND305112,2026-02-07,0.0,0.7,1.0,0.7,0.48,0,已拒绝
APP661616,JOB482672,CAND966621,2026-02-09,0.0,0.7,1.0,0.7,0.48,0,待处理
APP951660,JOB574345,CAND455134,2026-02-08,0.0,0.1,1.0,1.0,0.42,0,已拒绝
APP625938,JOB944809,CAND199751,2026-02-22,0.0,0.1,0.6,0.1,0.16,0,面试中
APP141627,JOB867261,CAND918611,2026-02-28,0.0,1.0,1.0,1.0,0.6,1,待处理
APP468816,JOB765046,CAND688819,2026-02-18,0.0,0.4,0.2,1.0,0.32,0,已拒绝
APP408811,JOB835747,CAND306653,2026-02-12,0.0,0.1,0.2,0.1,0.08,0,已拒绝
APP189037,JOB154324,CAND607725,2026-02-28,0.0,0.1,0.2,0.4,0.14,0,待处理
APP801426,JOB128008,CAND448371,2026-03-05,0.0,0.1,1.0,1.0,0.42,0,已录用
APP243165,JOB837161,CAND455326,2026-02-13,0.0,1.0,1.0,0.7,0.54,0,已查看
APP255673,JOB311110,CAND717202,2026-03-02,0.0,0.4,0.6,0.4,0.28,0,待处理
APP173437,JOB826119,CAND509826,2026-02-14,0.0,0.7,1.0,1.0,0.54,0,已查看
APP545228,JOB635320,CAND339178,2026-02-07,0.5,0.7,1.0,1.0,0.74,1,待处理
APP235616,JOB692837,CAND142221,2026-02-28,1.0,0.1,0.2,0.7,0.6,1,已录用
APP829354,JOB578259,CAND216131,2026-02-08,0.0,0.1,1.0,0.4,0.3,0,面试中
APP784372,JOB375625,CAND844980,2026-02-13,0.0,0.1,1.0,0.1,0.24,0,已拒绝
APP226469,JOB898023,CAND481149,2026-02-20,0.0,0.1,1.0,1.0,0.42,0,已拒绝
APP470325,JOB360320,CAND583846,2026-02-05,0.0,0.1,1.0,1.0,0.42,0,已查看
APP110253,JOB751665,CAND455134,2026-03-02,0.2,0.1,1.0,1.0,0.5,0,已录用
APP418526,JOB741114,CAND269887,2026-02-20,0.0,0.4,1.0,0.1,0.3,0,已录用
APP109906,JOB983241,CAND126541,2026-03-06,0.0,0.1,1.0,1.0,0.42,0,面试中
APP896260,JOB289257,CAND646299,2026-02-07,0.0,0.7,0.2,1.0,0.38,0,面试中
APP955191,JOB715094,CAND853445,2026-03-02,0.0,0.4,0.2,1.0,0.32,0,待处理
APP276364,JOB464301,CAND987812,2026-02-15,0.2,1.0,1.0,1.0,0.68,1,面试中
APP881109,JOB716166,CAND112979,2026-02-05,0.0,0.4,1.0,0.1,0.3,0,待处理
APP372966,JOB886002,CAND662108,2026-02-20,0.0,0.4,1.0,1.0,0.48,0,已查看
APP285846,JOB761753,CAND258784,2026-02-15,0.0,0.7,1.0,0.7,0.48,0,待处理
APP836639,JOB732292,CAND239512,2026-03-02,0.0,0.1,0.2,0.1,0.08,0,待处理
APP126166,JOB741350,CAND564172,2026-02-26,0.0,0.4,1.0,1.0,0.48,0,已拒绝
APP933860,JOB257817,CAND421307,2026-02-05,0.667,0.4,0.2,1.0,0.587,0,已录用
APP865944,JOB483615,CAND996119,2026-03-06,0.0,0.1,1.0,0.7,0.36,0,面试中
APP262148,JOB675017,CAND559451,2026-02-08,0.4,0.1,0.2,1.0,0.42,0,已录用
APP153261,JOB877868,CAND686422,2026-02-18,0.0,0.1,1.0,1.0,0.42,0,待处理
APP509100,JOB540012,CAND656714,2026-02-14,0.333,0.7,1.0,1.0,0.673,1,待处理
APP142357,JOB258511,CAND346719,2026-02-09,0.0,0.1,1.0,0.1,0.24,0,待处理
APP867686,JOB804912,CAND710331,2026-02-10,0.0,0.1,1.0,0.1,0.24,0,面试中
APP284068,JOB441623,CAND605186,2026-02-25,0.0,0.1,1.0,0.1,0.24,0,面试中
APP481915,JOB985764,CAND216060,2026-02-05,0.2,0.7,0.2,1.0,0.46,0,面试中
APP935147,JOB924955,CAND832841,2026-03-01,0.0,0.4,1.0,1.0,0.48,0,已录用
APP468997,JOB980155,CAND372551,2026-02-21,0.0,0.7,0.2,1.0,0.38,0,已查看
APP139476,JOB110971,CAND565657,2026-03-04,0.2,0.7,1.0,1.0,0.62,1,已录用
APP980191,JOB500554,CAND571542,2026-02-04,0.0,0.4,1.0,1.0,0.48,0,已查看
APP643843,JOB830158,CAND332342,2026-02-05,0.0,0.1,0.2,0.1,0.08,0,面试中
APP457404,JOB122378,CAND135538,2026-02-23,0.0,0.7,1.0,0.7,0.48,0,已查看
APP757593,JOB142700,CAND573075,2026-02-14,0.0,0.1,1.0,1.0,0.42,0,待处理
APP134095,JOB152976,CAND585589,2026-02-15,0.0,0.1,0.2,0.1,0.08,0,待处理
APP841705,JOB278523,CAND911600,2026-02-13,0.0,0.7,1.0,0.7,0.48,0,已查看
