job_id,job_title,job_category,company_name,company_size,company_type,city,education,experience,salary_min,salary_max,salary_avg,skills_merged,llm_technical_skills,llm_soft_skills,publish_date,views,applications
JOB962050,数据分析师,技术,百度,20-99人,教育,南京,大专,10年以上,18879,30679,24779,"JavaScript,Django,TypeScript,深度学习,数据结构,Java,Go","Java,JavaScript,TypeScript,Go","沟通能力,团队协作",2026-02-07,4921,114
JOB420214,UX设计,设计,滴滴,20-99人,医疗,北京,不限,不限,6597,10720,8658,"Illustrator,After Effects,C4D,3D Max,Photoshop",,,2026-03-05,1996,78
JOB841296,活动运营,运营,新浪,100-499人,其他,郑州,博士,应届生,6957,11305,9131,"SEO,内容策划,社群运营,用户增长",,,2026-02-15,4762,78
JOB560485,数据工程师,技术,云从科技,100-499人,能源,重庆,硕士,不限,7795,12668,10231,"Git,JavaScript,PyTorch,Python,Linux,算法,Java","Python,Java,PyTorch,JavaScript,Linux,Git",,2026-02-08,2307,152
JOB142185,用户研究,产品,拼多多,1000-9999人,房地产,西安,博士,3-5年,15058,24470,19764,"需求分析,Axure,原型设计,数据分析,用户研究,PRD文档",,,2026-02-04,3380,199
JOB676818,数据工程师,技术,平安科技,0-20人,房地产,上海,硕士,3-5年,23749,38592,31170,"Pandas,高并发,深度学习",高并发,"沟通能力,团队协作",2026-02-10,4183,165
JOB563513,后端开发工程师,技术,优酷,500-999人,物流,杭州,不限,1-3年,8437,13710,11073,"Java,Scikit-learn,PyTorch","Java,PyTorch","沟通能力,团队协作",2026-02-27,1029,123
JOB223172,行政助理,职能,优酷,1000-9999人,制造业,深圳,博士,不限,12568,20423,16495,"组织管理,薪酬管理,培训,沟通协调,PPT,Excel",,,2026-02-26,121,77
JOB861319,数据运营,运营,美的,20-99人,物流,苏州,不限,不限,4683,7611,6147,"新媒体,数据分析,社群运营,SEM,活动策划,用户增长",,,2026-02-07,3465,16
JOB433632,会计,职能,网易,500-999人,互联网,重庆,博士,5-10年,18403,29905,24154,"PPT,沟通协调,招聘,薪酬管理",,,2026-03-02,712,125
JOB919488,新媒体运营,运营,美团,100-499人,能源,苏州,博士,不限,9587,15579,12583,"新媒体,SEM,SEO,活动策划,内容策划,数据分析",,,2026-03-04,3655,30
JOB897305,法务专员,职能,快手,10000人以上,制造业,郑州,大专,5-10年,7257,11793,9525,"招聘,绩效考核,组织管理",,,2026-02-21,4736,179
JOB931016,产品总监,产品,依图科技,1000-9999人,医疗,深圳,大专,10年以上,22818,37080,29949,"原型设计,需求分析,Axure,PRD文档,用户研究,数据分析",,,2026-02-20,2930,155
JOB413685,会计,职能,当当网,20-99人,房地产,重庆,硕士,5-10年,10906,17723,14314,"培训,组织管理,薪酬管理,Excel,绩效考核,PPT",,,2026-02-16,501,160
JOB881369,销售经理,市场,商汤科技,20-99人,医疗,青岛,硕士,1-3年,10237,16636,13436,"渠道拓展,营销策划,市场调研,品牌推广,公关",,,2026-03-02,838,80
JOB442589,会计,职能,宁德时代,100-499人,能源,深圳,本科,1-3年,8325,13528,10926,"绩效考核,组织管理,薪酬管理,沟通协调,Excel",,,2026-02-23,839,106
JOB114594,用户运营,运营,360,1000-9999人,房地产,上海,博士,3-5年,29054,47213,38133,"用户增长,新媒体,SEM,活动策划,内容策划",,,2026-02-25,3444,34
JOB246566,Java开发工程师,技术,滴滴,20-99人,能源,杭州,博士,应届生,16007,26011,21009,"Kubernetes,Git,Docker,Pandas,Java","Java,Docker,Kubernetes,Git",,2026-03-03,4108,162
JOB527940,运营专员,运营,中兴通讯,500-999人,医疗,重庆,硕士,1-3年,7781,12644,10212,"用户增长,新媒体,数据分析,社群运营,SEO",,,2026-02-13,1837,169
JOB770556,平面设计,设计,华为,1000-9999人,医疗,北京,硕士,1-3年,16591,26961,21776,"Figma,Adobe XD,Illustrator",,审美,2026-03-02,4525,69
JOB937302,产品经理,产品,阿里巴巴,100-499人,医疗,天津,大专,1-3年,4771,7754,6262,"产品设计,需求分析,原型设计,PRD文档,数据分析",,,2026-02-18,4963,32
JOB573962,视觉设计,设计,比亚迪,100-499人,物流,苏州,大专,不限,4722,7673,6197,"Photoshop,Figma,C4D",,团队协作,2026-02-24,1315,21
JOB232321,用户运营,运营,平安科技,500-999人,其他,天津,不限,10年以上,12016,19526,15771,"SEM,社群运营,SEO,活动策划,内容策划",,,2026-02-08,3815,107
JOB536196,人力资源,职能,360,100-499人,教育,成都,博士,3-5年,13259,21547,17403,"培训,招聘,沟通协调,PPT,薪酬管理,Excel",,,2026-03-03,3465,95
JOB797660,销售经理,市场,当当网,100-499人,金融,青岛,大专,3-5年,7432,12078,9755,"市场调研,渠道拓展,媒介投放,营销策划",,,2026-02-27,3615,148
JOB904711,UX设计,设计,爱奇艺,0-20人,教育,天津,不限,应届生,3892,6324,5108,"Adobe XD,Sketch,C4D,Photoshop,Illustrator",,"团队协作,审美",2026-02-18,1862,101
JOB540226,品牌经理,市场,平安科技,1000-9999人,其他,深圳,硕士,3-5年,21034,34181,27607,"品牌推广,市场调研,渠道拓展",,,2026-02-21,4078,160
JOB563516,品牌经理,市场,商汤科技,500-999人,金融,广州,不限,应届生,5073,8244,6658,"渠道拓展,营销策划,BD,媒介投放,公关",,,2026-02-28,2569,59
JOB904624,UX设计师,产品,小米,0-20人,物流,杭州,硕士,3-5年,17535,28494,23014,"原型设计,需求分析,Axure,Figma,数据分析,PRD文档",,,2026-02-20,737,85
JOB703727,媒介专员,市场,小米,500-999人,互联网,武汉,博士,3-5年,17802,28928,23365,"市场调研,BD,媒介投放,公关,品牌推广",,,2026-03-04,3342,84
JOB882033,运营经理,运营,格力,10000人以上,金融,成都,本科,应届生,3699,6011,4855,"新媒体,数据分析,SEM,用户增长",,,2026-03-02,717,50
JOB910389,会计,职能,中兴通讯,10000人以上,其他,南京,不限,10年以上,16140,26228,21184,"PPT,培训,薪酬管理,招聘,组织管理",,,2026-03-04,2642,123
JOB573866,Java开发工程师,技术,美团,1000-9999人,其他,成都,硕士,应届生,6213,10097,8155,"Git,TensorFlow,深度学习,微服务,算法,Python,Java","Python,Java,微服务,Git","沟通能力,团队协作",2026-02-20,947,92
JOB849014,机器学习工程师,技术,搜狐,10000人以上,物流,天津,本科,应届生,6499,10561,8530,"机器学习,Spark,PyTorch,Vue,Docker,分布式系统","PyTorch,Spark,Vue,Docker","沟通能力,团队协作",2026-02-14,2841,21
JOB445705,机器学习工程师,技术,360,10000人以上,其他,天津,博士,3-5年,23888,38818,31353,"MongoDB,JavaScript,TensorFlow,Pandas,Java,Go","Java,JavaScript,Go,MongoDB",,2026-02-12,794,84
JOB686072,BD经理,市场,比亚迪,0-20人,房地产,长沙,硕士,1-3年,7134,11593,9363,"品牌推广,公关,渠道拓展,市场调研,营销策划",,,2026-02-25,928,134
JOB908320,动效设计师,设计,蚂蚁集团,1000-9999人,教育,重庆,不限,应届生,3234,5256,4245,"Sketch,Illustrator,C4D,Adobe XD,3D Max,After Effects",,"团队协作,审美",2026-02-25,3777,64
JOB659951,产品助理,产品,旷视科技,10000人以上,其他,长沙,博士,1-3年,13622,22136,17879,"PRD文档,数据分析,原型设计,Axure,Figma,产品设计",,,2026-02-05,940,187
JOB986982,动效设计师,设计,快手,100-499人,物流,上海,硕士,应届生,10247,16651,13449,"C4D,Photoshop,Illustrator,Figma",,审美,2026-02-22,768,100
JOB335445,算法工程师,技术,蚂蚁集团,20-99人,教育,青岛,大专,不限,5700,9263,7481,"Redis,Hadoop,分布式系统",Redis,"沟通能力,团队协作",2026-03-06,2196,60
JOB975522,交互设计,产品,大华股份,0-20人,制造业,重庆,不限,10年以上,17878,29051,23464,"Figma,产品设计,数据分析,需求分析",,,2026-02-18,4810,66
JOB853448,产品助理,产品,商汤科技,20-99人,其他,武汉,大专,10年以上,12636,20534,16585,"原型设计,用户研究,数据分析,产品设计,PRD文档,Figma",,,2026-02-26,233,96
JOB926823,算法工程师,技术,蚂蚁集团,20-99人,互联网,广州,大专,10年以上,22218,36105,29161,"深度学习,MongoDB,分布式系统,Scikit-learn,Vue,Go","Vue,Go,MongoDB",,2026-02-10,3849,14
JOB407696,产品经理,产品,平安科技,100-499人,能源,长沙,本科,应届生,3791,6161,4976,"PRD文档,原型设计,产品设计,需求分析,数据分析,Figma",,,2026-02-11,3702,103
JOB455505,用户研究,产品,比亚迪,100-499人,金融,重庆,博士,3-5年,20317,33015,26666,"需求分析,Axure,Figma,PRD文档,原型设计,用户研究",,,2026-02-15,3590,47
JOB823270,品牌经理,市场,商汤科技,1000-9999人,房地产,南京,大专,不限,5238,8512,6875,"渠道拓展,品牌推广,营销策划,媒介投放,市场调研",,,2026-03-02,650,65
JOB916332,财务专员,职能,字节跳动,1000-9999人,教育,成都,博士,10年以上,24166,39270,31718,"PPT,绩效考核,薪酬管理,招聘,培训,沟通协调",,,2026-03-06,1624,132
JOB642895,媒介专员,市场,中兴通讯,20-99人,其他,上海,硕士,3-5年,15958,25932,20945,"渠道拓展,媒介投放,市场调研,品牌推广,营销策划",,,2026-02-04,2718,175
JOB464301,人力资源,职能,当当网,20-99人,教育,西安,不限,3-5年,5856,9517,7686,"薪酬管理,招聘,培训,PPT,Excel",,,2026-02-09,4619,38
JOB741674,Python开发工程师,技术,海尔,1000-9999人,房地产,杭州,博士,不限,15428,25071,20249,"分布式系统,TensorFlow,JavaScript,React,MongoDB,Scikit-learn,Python,Java,Go","Python,Java,JavaScript,React,Go,MongoDB","沟通能力,团队协作",2026-02-06,4616,168
JOB716338,UX设计师,产品,百度,0-20人,能源,深圳,博士,10年以上,55028,89421,72224,"Figma,需求分析,数据分析,原型设计",,,2026-02-14,4612,75
JOB231250,财务专员,职能,格力,10000人以上,教育,苏州,不限,应届生,3798,6171,4984,"绩效考核,PPT,Excel,沟通协调",,,2026-02-28,4786,111
JOB748133,人力资源,职能,当当网,500-999人,医疗,南京,不限,3-5年,9146,14863,12004,"Excel,薪酬管理,招聘,PPT,培训,沟通协调",,,2026-02-07,2715,192
JOB462147,市场经理,市场,大疆创新,0-20人,零售,长沙,硕士,10年以上,21391,34761,28076,"媒介投放,品牌推广,公关,营销策划",,,2026-02-21,2133,45
JOB952993,用户运营,运营,快手,500-999人,能源,重庆,硕士,1-3年,6348,10316,8332,"SEM,数据分析,活动策划,内容策划,社群运营,用户增长",,,2026-03-05,2404,131
JOB726543,法务专员,职能,阿里巴巴,0-20人,房地产,南京,硕士,10年以上,22574,36683,29628,"Excel,PPT,绩效考核,薪酬管理",,,2026-02-17,2464,23
JOB505116,UI设计,设计,小米,20-99人,金融,长沙,不限,3-5年,9795,15918,12856,"3D Max,C4D,Sketch,Adobe XD,After Effects,Photoshop",,团队协作,2026-02-12,2828,126
JOB644559,市场经理,市场,平安科技,1000-9999人,零售,苏州,不限,1-3年,7192,11687,9439,"媒介投放,BD,公关,渠道拓展",,,2026-02-23,2813,177
JOB214928,媒介专员,市场,海尔,100-499人,其他,杭州,大专,10年以上,22132,35964,29048,"渠道拓展,品牌推广,BD,媒介投放",,,2026-02-04,1000,53
JOB119857,品牌经理,市场,携程,500-999人,能源,武汉,本科,5-10年,13227,21494,17360,"营销策划,渠道拓展,品牌推广,市场调研,公关,BD",,,2026-02-04,1518,122
JOB659024,用户运营,运营,海尔,20-99人,医疗,成都,硕士,10年以上,22668,36835,29751,"社群运营,用户增长,数据分析,新媒体,SEO",,,2026-03-03,4797,178
JOB669576,公关经理,市场,优酷,0-20人,制造业,郑州,硕士,1-3年,7384,11999,9691,"公关,媒介投放,营销策划",,,2026-03-03,4907,66
JOB354235,测试工程师,技术,新浪,0-20人,金融,青岛,不限,1-3年,5949,9668,7808,"MongoDB,NumPy,Jenkins,TypeScript,Pandas,数据结构,Go","TypeScript,Go,MongoDB","沟通能力,团队协作",2026-02-14,1733,198
JOB401198,新媒体运营,运营,顺丰,20-99人,能源,天津,大专,应届生,3000,5000,4000,"数据分析,活动策划,用户增长",,,2026-02-25,4752,159
